"publisher_id","publisher_name"
"407","日本平和委員会"
"408","日本歴史地理学会"
"409","日本歴史地理學會"
"410","日本兒童文庫、アルス"
"411","博品社"
"412","博文館"
"413","博文堂"
"414","博聞社"
"415","柏書房"
"416","白水社"
"417","白凰社"
"418","八雲書店"
"419","八木書店"
"420","反響社"
"421","飯田市美術博物館"
"422","番町書房"
"423","美術出版社"
"424","彦根市"
"425","百合出版"
"426","不二出版"
"427","不二菱"
"428","不明"
"429","婦人之友社"
"430","婦人文化研究會"
"431","冨山房"
"432","冨山房百科文庫、冨山房"
"433","冨山房百科文庫43、冨山房"
"434","芙蓉書房"
"435","武蔵野書院"
"436","武蔵野書房"
"437","舞臺社"
"438","復刻版 日本児童文庫、名著普及会"
"439","復刻版日本児童文庫、名著普及会"
"440","復刻版日本兒童文庫、名著普及会"
"441","福岡市文学館"
"442","福山市鞆の浦歴史民俗資料館"
"443","福村書店"
"444","福武書店"
"445","福武文庫、福武書店"
"446","文園社"
"447","文興院"
"448","文芸春秋"
"449","文治堂書店"
"450","文春文庫、文芸春秋"
"451","文春文庫、文藝春秋"
"452","文春文庫、文藝春秋社"
"453","文泉堂出版"
"454","文泉堂書店"
"455","文武堂店"
"456","文學界社雜誌社"
"457","文藝倶楽部、博文館"
"458","文藝市場社"
"459","文藝春秋"
"460","文藝春秋社"
"461","文藝春秋新社"
"462","文藝戦線社"
"463","丙午出版社"
"464","平凡社"
"465","平凡社ライブラリー、平凡社"
"466","平凡堂書店"
"467","平和資料館・草の家、飛鳥出版室"
"468","勉誠出版"
"469","暮しの手帖社"
"470","報知新聞社"
"471","宝雲舎"
"472","宝石社"
"473","宝文館"
"474","朋文堂"
"475","法務大臣官房秘書課広報連絡室"
"476","法律文化社"
"477","芳賀書店"
"478","房総文芸選集、あさひふれんど千葉"
"479","北海道出版企画センター"
"480","北方文芸刊行会"
"481","本の友社"
"482","昧爽社"
"483","毎日新聞社"
"484","鱒書房"
"485","未知谷"
"486","未来社"
"487","未來社"
"488","無明舎出版"
"489","名古屋大学出版会"
"490","名著刊行会"
"491","名著復刻 日本児童文学館 25、ほるぷ出版"
"492","名著復刻 日本児童文学館 第二集 23、ほるぷ出版"
"493","名著復刻 日本児童文学館、ほるぷ出版"
"494","名著復刻日本児童文学館、ほるぷ出版"
"495","名著複刻全集、近代文学館"
"496","明治書院"
"497","明治図書出版"
"498","明治文献"
"499","明石書店"
"500","明徳出版社"
"501","明日香書房"
"502","明文社"
"503","有限社"
"504","有信堂"
"505","有精堂出版"
"506","邑書林"
"507","雄鶏社"
"508","雄鳥社"
"509","雄鷄社"
"510","葉舟会"
"511","要書房"
"512","洛陽堂"
"513","落合書店"
"514","理論社"
"515","立風書房"
"516","龍渓書舎"
"517","力書房"
"518","臨川書店"
"519","六興出版"
"520","論創ミステリ叢書、論創社"
"521","論創社"
"522","偕成社文庫、偕成社"
"523","勁草書房"
"524","國立書院"
"525","學藝書林"
"526","實業之日本社"
"527","寶文館"
"528","廣済堂出版"
"529","彌生書房"
"530","昴発行所"
"531","漱石全集刊行会"
"532","萬里閣"
"533","萬里閣書房"
"534","薔薇十字社"
"535","讀賣新聞社"
"536","讀賣新聞大阪本社"
"537","鐵塔書院"
